Entity,Source,Cardinality,Attribute,Type,Refs,Required,Coverage,Status,Verified,Description,Evidence / Gap notes
library,jvm-heap,1,vars,vector,var,yes,,exists,2026-06-09,"Vector of var maps (1,572 entries). Implicitly a ref to :var (PR #57 review, @puredanger).",sidecar_repl.clj — (count (:vars search/clojure-lib))
library,jvm-heap,1,version,string,,yes,,exists,2026-06-09,"Clojure version string, e.g. ""1.12.4""",sidecar_repl.clj — (dissoc search/clojure-lib :vars :namespaces)
namespace,jvm-heap,38,added,string,,no,2/38,exists,2026-06-09,Version when namespace was added. Only clojure.pprint and clojure.reflect.,sidecar_repl.clj — namespace key coverage
namespace,jvm-heap,38,doc,string,,no,32/38,exists,2026-06-09,"Namespace docstring. Nil for 6 namespaces (core.logic.*, core.protocols, instant, tools.build.api).",entity_model_test.clj — namespace-universal-keys
namespace,jvm-heap,38,name,string,,yes,,exists,2026-06-09,Fully qualified namespace name,sidecar_repl.clj — (keys (first (:namespaces search/clojure-lib)))
note,mongodb,497,_id,object-id,,yes,,exists,2026-06-09,MongoDB ObjectId,sidecar_repl.clj — notes key universe scan
note,mongodb,497,author,ref,embedded-user,yes,,exists,2026-06-09,User who created the note,sidecar_repl.clj — notes key universe scan
note,mongodb,497,body,string,,yes,,exists,2026-06-09,Note text (markdown),sidecar_repl.clj — notes key universe scan
note,mongodb,497,created-at,integer,,yes,,exists,2026-06-09,Unix epoch millis when created,sidecar_repl.clj — notes key universe scan
note,mongodb,497,updated-at,integer,,yes,,exists,2026-06-09,Unix epoch millis when last updated,sidecar_repl.clj — notes key universe scan
note,mongodb,497,var,ref,embedded-var,yes,,exists,2026-06-09,Which var this note is for,sidecar_repl.clj — notes key universe scan
see-also,mongodb,2494,_id,object-id,,yes,,exists,2026-06-09,MongoDB ObjectId,sidecar_repl.clj — see-alsos key universe scan
see-also,mongodb,2494,author,ref,embedded-user,yes,,exists,2026-06-09,User who created this see-also,sidecar_repl.clj — see-alsos key universe scan
see-also,mongodb,2494,created-at,integer,,yes,,exists,2026-06-09,Unix epoch millis when created,sidecar_repl.clj — see-alsos key universe scan
see-also,mongodb,2494,from-var,ref,embedded-var,yes,,exists,2026-06-09,Source var of the see-also relationship,sidecar_repl.clj — see-alsos key universe scan
see-also,mongodb,2494,to-var,ref,embedded-var,yes,,exists,2026-06-09,Target var of the see-also relationship,sidecar_repl.clj — see-alsos key universe scan
user,mongodb,4902,_id,object-id,,yes,,exists,2026-06-09,MongoDB ObjectId,sidecar_repl.clj — users key universe scan
user,mongodb,4902,account-source,string,,yes,,exists,2026-06-09,"Auth provider: ""github"" or ""clojuredocs""",sidecar_repl.clj — users key universe scan
user,mongodb,4902,avatar-url,string,,yes,,exists,2026-06-09,Avatar image URL,sidecar_repl.clj — users key universe scan
user,mongodb,4902,login,string,,yes,,exists,2026-06-09,Username,sidecar_repl.clj — users key universe scan
var,jvm-heap,1572,added,string,,no,907/1572,exists,2026-06-09,Version when this var was added,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,arglists,list,,yes,,exists,2026-06-09,List of argument list strings,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,column,integer,,no,1482/1572,exists,2026-06-09,Source column number,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,deprecated,string,,no,18/1572,exists,2026-06-09,Deprecation version string,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,doc,string,,no,1293/1572,exists,2026-06-09,Docstring,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,dynamic,boolean,,no,56/1572,exists,2026-06-09,True if this var is dynamic (e.g. *out*),sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,file,string,,no,1482/1572,exists,2026-06-09,Source file path relative to project root,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,forms,list,,no,4/1572,exists,2026-06-09,Usage form strings for special forms,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,href,string,,yes,,exists,2026-06-09,"URL path for this var's page, e.g. ""/clojure.core/map""",sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,library-url,string,,yes,,exists,2026-06-09,Library GitHub URL (denormalized from Library),sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,line,integer,,no,1482/1572,exists,2026-06-09,Source line number,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,macro,boolean,,no,190/1572,exists,2026-06-09,True if this var is a macro,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,name,string,,yes,,exists,2026-06-09,Var name (stringified),sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,no-doc,boolean,,no,0/1572,absent,2026-06-09,"Documentation-visibility flag. Listed in search/var-keys, so the gather pipeline retains it when present, but no var in Clojure 1.12.4 carries it. (On namespaces, :no-doc is meaningful — gather-namespaces removes flagged namespaces.)",entity_model_test.clj — var key universe scan (no var carries :no-doc)
var,jvm-heap,1572,ns,string,,yes,,exists,2026-06-09,Namespace name (stringified),sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,skip-wiki,boolean,,no,31/1572,exists,2026-06-09,True if var should be hidden from documentation,sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,special-form,boolean,,no,4/1572,exists,2026-06-09,"True for let, fn, letfn, loop",sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,static,boolean,,no,319/1572,vestigial,2026-06-09,"Legacy AOT-compilation hint. Present on 319 vars but no longer meaningful in modern Clojure; can be dropped (PR #57 review, @puredanger).",sidecar_repl.clj — var key universe scan; semantic deadness per PR #57 review
var,jvm-heap,1572,tag,string,,no,122/1572,exists,2026-06-09,Return type hint (stringified from class),sidecar_repl.clj — var key universe scan
var,jvm-heap,1572,type,string,,yes,,exists,2026-06-09,"Observed values on search/clojure-lib: ""function"" (1225), ""macro"" (190), ""var"" (157). type-of has a ""special-form"" branch and import.clj/UI accept that value, but no var here produces it — the 15 static special forms lose their :type in transform-var-meta (select-keys var-keys drops :type) and surface as ""var"". See issue #67.","entity_model_test.clj — var-type-values (type set = #{""function"" ""macro"" ""var""})"
var,jvm-heap,1572,url,string,,no,1/1572,vestigial,2026-06-09,Present only on letfn with nil value. Vestigial annotation from Clojure source.,sidecar_repl.clj — letfn :url investigation
