Question,Answer,Reference
"What entities and attributes currently exist on the website?","What a user sees on the website today: (1) **Var page** shows: name, namespace, docstring, arglists/forms, source link (core only), added-in version, dialect badges (clj/cljs/bb), implementation-detail badge, examples (with author, editors, timestamps), notes (with author, timestamp), see-alsos (with doc preview, author, delete control). (2) **Namespace page** shows: namespace name, docstring, grouped list of vars. (3) **User page** shows: avatar, login name, count of authored examples, list of authored examples linked to vars. (4) **Homepage** shows: search bar, recently updated feed (examples/notes/see-alsos with author and timestamp), company logos. (5) **Quick reference** shows: vars organized by concept category. (6) **Search results** show: var name, namespace, type, doc snippet.","src/clj/clojuredocs/pages/vars.clj L170-310 (var page); src/clj/clojuredocs/pages/nss.clj L45-90 (ns page); src/clj/clojuredocs/pages/user.clj L12-50 (user page); src/clj/clojuredocs/pages/intro.clj L70-190 (homepage)"
"Where does the current implicit model already match what the vision requires, and where are the gaps?","**Already exists:** Var→Var via see-alsos (directional), Var→People via author/editors on examples, Var→Namespace via ns field on vars, Var→Dialects via dialect-compat.edn and badges on var pages, Var→Source for core namespaces only. **Gaps:** (1) No Library entity — hardcoded singleton, blocks multi-library. (2) No Var→Resource relationship (blog posts, talks, threads). (3) No Var→Tests relationship. (4) No Var→Usage (real-world open source usage). (5) Source links only work for clojure/clojure repo namespaces (hardcoded set in pages/vars.clj). (6) No quality signals — no verification status, no scoring, no reputation. (7) No explicit Namespace entity in the database — namespaces are derived from the JVM at startup. (8) Var→People is implicit (embedded author maps) rather than being a first-class navigable relationship. (9) Dialect data is static/manual — no connection to cross-dialect test suites.","src/clj/clojuredocs/api/see_alsos.clj (existing Var→Var); src/clj/clojuredocs/pages/vars.clj L85-100 (source URL limited to core); src/clj/clojuredocs/search.clj L112-115 (hardcoded single library); src/clj/clojuredocs/search/compat.clj (static dialect data); docs/2026vison.md (vision requirements)"
"What is the identity of a Var?","A var is identified by the composite {ns, name, library-url}. But this identity has no canonical record — vars exist only as (1) in-memory maps gathered from the JVM at startup, and (2) embedded sub-documents copied into every MongoDB document that references them. The schemas define Var as {:ns Str :name Str :library-url Str}. There is no vars collection actively used in MongoDB. If a var's namespace changes or library-url changes, every example, note, and see-also document containing that var must be updated independently.","src/clj/clojuredocs/api/common.clj L9-12 (Var schema); src/clj/clojuredocs/api/see_alsos.clj L20-22 (embedded Var in see-also); src/clj/clojuredocs/data.clj L7-12 (query by embedded var fields)"
"What is runtime-derived vs. persisted?","**Runtime-derived (rebuilt every restart):** var metadata (docstring, arglists, type, source location, added-in version), namespace metadata (name, doc), library metadata (version, URLs), Lucene search index. All lost on shutdown and rebuilt from the JVM + static lists. **Persisted in MongoDB:** examples, example-histories, notes, see-alsos, users, legacy-var-redirects. Survive restarts. **Persisted in static files (repo):** dialect-compat.edn (manual/generated), search/static.clj (namespace list, special forms). **Generated periodically:** clojuredocs-export.json (every 6 hours). These three origins have different update cadences: runtime data changes with Clojure version bumps/deploys, MongoDB data changes with every user contribution, static files change with code commits.","src/clj/clojuredocs/search.clj L77-140 (runtime gathering); src/clj/clojuredocs/main.clj L83-90 (export schedule); src/clj/clojuredocs/search/compat.clj L7-9 (static EDN load)"
"What entities are indexed in MongoDB but appear vestigial?","main.clj indexes 4 collections that Claude did not find active queries for: (1) :namespaces — indexed on [:name], no mon/fetch calls found. (2) :libraries — indexed on [:namespaces], no mon/fetch calls found. (3) :vars — referenced only in tools/old_import.clj and data/import.clj (both in comment blocks). (4) :migrate-users — indexed on [:email :migraion-key] (note: typo in key name), no queries found. These appear to be artifacts from the v1→v2 migration. Confirming whether they contain live data requires inspecting the production MongoDB instance directly.","src/clj/clojuredocs/main.clj L62-81 (index definitions); tools/old_import.clj L419-446 (historical var/namespace queries)"
"What is the deletion model?","Inconsistent across entities. Examples use **soft delete**: deleted-at timestamp is set, and all queries filter with :deleted-at nil (data.clj L11). The example document remains in MongoDB. Notes use **hard delete**: mon/destroy! removes the document entirely (api/notes.clj L61). See-alsos also use **hard delete**: mon/destroy! (api/see_alsos.clj L64). Example histories are insert-only (append) and never deleted. Users are upserted on login (mon/update!) and never deleted. This inconsistency means examples have an audit trail (you can see what was deleted and when) while notes and see-alsos vanish without trace.","src/clj/clojuredocs/api/examples.clj L104-107 (soft delete); src/clj/clojuredocs/api/notes.clj L59-62 (hard delete); src/clj/clojuredocs/api/see_alsos.clj L62-65 (hard delete); src/clj/clojuredocs/data.clj L11 (:deleted-at nil filter)"
"What is the authorization model embedded in the data?","Authorization is identity-based with no roles. (1) **All writes** require login (c/require-login! checks session user). (2) **Example deletion**: only the original author can delete, checked via util/is-author? comparing {:login :account-source} of user and :author. (3) **Example editing**: any logged-in user can edit any example. The editor is appended to an :editors list on the example. (4) **Note deletion**: only the author, checked via a local is-author fn in api/notes.clj. (5) **Note editing**: any logged-in user (same as examples). (6) **See-also deletion**: only the author, checked by direct map equality of user and :author. (7) **See-also creation**: any logged-in user, with duplicate prevention. There is no admin role, no moderation system, no flagging mechanism.","src/clj/clojuredocs/api/common.clj L18-22 (require-login!); src/clj/clojuredocs/api/examples.clj L100-107 (author-only delete); src/clj/clojuredocs/api/examples.clj L84-93 (anyone can edit, editors tracked); src/clj/clojuredocs/api/notes.clj L45-50 (author check); src/clj/clojuredocs/api/see_alsos.clj L55-58 (author check)"
"What is the export contract?","The export JSON (clojuredocs-export.json) is a public API consumed by editor plugins (Calva, CIDER, etc.). Structure: {created-at, description, vars: [{ns, name, doc, arglists, ..., examples: [...], see-alsos: [...], notes: [...]}]}. Each var contains its full metadata plus denormalized arrays of its examples, see-alsos, and notes (with _id converted to string, var/from-var back-references stripped). Regenerated every 6 hours via ScheduledExecutorService. The file is served as a static resource at /clojuredocs-export.json. Any entity model change that alters var attributes, example shape, or relationship structure could break downstream consumers.","src/clj/clojuredocs/export.clj L14-44 (export structure); src/clj/clojuredocs/main.clj L83-90 (schedule); docs/decisions.md L13 (consumers: Calva, CIDER)"
"How deep does the single-library assumption go?","Pervasive. (1) clojure-lib is a single def in search.clj with hardcoded library-url, version, source-base-url. (2) Every data query in data.clj filters on :var.library-url or :from-var.library-url. (3) Source URL generation in pages/vars.clj checks against a hardcoded set of clojure-repo-namespaces. (4) The namespace list is a static vector in search/static.clj. (5) The export iterates only clojure-lib vars. (6) library-for functions in pages/vars.clj and pages/nss.clj return the singleton clojure-lib unconditionally. (7) Navigation UI (sidebar namespace tree) renders only clojure-lib namespaces. Adding a second library requires changes in at minimum: search.clj, static.clj, data.clj (queries already support it via library-url filter), export.clj, pages/vars.clj, pages/nss.clj, and the search index builder.","src/clj/clojuredocs/search.clj L112-120 (hardcoded lib); src/clj/clojuredocs/search/static.clj L3-39 (hardcoded ns list); src/clj/clojuredocs/pages/vars.clj L34 (library-for returns singleton); src/clj/clojuredocs/pages/vars.clj L85-100 (hardcoded source ns set); src/clj/clojuredocs/export.clj L35-44 (single lib export)"
"What is the cardinality of each relationship?","Var→Example: one-to-many (one var has many examples). Var→Note: one-to-many. Var→SeeAlso: one-to-many from the 'from' side; each SeeAlso connects exactly two vars (from-var and to-var), making it a directional many-to-many between vars overall. User→Example: one-to-many as author; many-to-many as editors. User→Note: one-to-many (author only, no editors). User→SeeAlso: one-to-many (author only). Example→ExampleHistory: one-to-many (each edit creates a history entry). Library→Namespace: one-to-many (hardcoded). Namespace→Var: one-to-many. Var→DialectCompat: one-to-one (each var has one set of supported dialects, or nil).","src/clj/clojuredocs/api/examples.clj L27-31 (editors list, many-to-many); src/clj/clojuredocs/api/see_alsos.clj L24-28 (from-var/to-var, directional); src/clj/clojuredocs/data.clj L6-30 (one-to-many queries); src/clj/clojuredocs/search/compat.clj L13-17 (one-to-one dialect lookup)"
"What is the temporal story?","Examples carry :created-at and :updated-at (integers, epoch millis). Notes carry :created-at and :updated-at. See-alsos carry only :created-at (no update mechanism exists — they're created or deleted, never edited). ExampleHistories carry :created-at (snapshot timestamp). Users have no timestamps. The homepage's recently-updated feed merges all three contribution types by :created-at to produce a unified timeline (pages/intro.clj L177-190). Example edits update :updated-at but the feed sorts by :created-at, meaning edits don't surface in the feed — only new contributions do. The export JSON has a top-level :created-at indicating when the export was generated.","src/clj/clojuredocs/api/common.clj L55-58 (timestamp logic); src/clj/clojuredocs/api/see_alsos.clj L45 (created-at only); src/clj/clojuredocs/pages/intro.clj L177-190 (feed assembly); src/clj/clojuredocs/api/examples.clj L22-26 (history timestamps)"
